   13800.0       7.330
    7300.0       7.194
    6200.0       6.367
   19200.0       8.230
   10000.0       7.710
   11500.0       8.260
    9600.0       6.496
    7500.0       6.838
   15300.0       9.906
   17300.0       8.664
   12600.0      11.309
   12500.0       9.815
    4300.0       5.322
    8800.0       7.489
    7500.0       5.938
   14000.0      10.716
   11000.0       7.295
    6500.0       7.189
   12500.0       9.015
    6000.0       5.451
   19700.0       9.956
    8200.0       7.134
    8700.0       8.446
    8400.0       6.519
    8200.0       9.234
    5900.0       5.944
   18000.0       8.646
   10500.0       8.902
    8200.0       9.034
    6500.0       5.689
   10800.0       8.998
    8600.0       6.704
    8900.0       7.632
    6400.0       8.282
    8200.0       6.734
    6800.0       5.012
   18200.0       8.397
   15000.0      10.135
   15300.0       7.506
   14100.0       6.608
    7500.0       8.138
   15500.0      10.287
    8400.0       8.019
    6600.0       6.297
   18500.0       8.323
   10500.0      10.468
   17000.0       8.414
    7200.0       7.872
   16500.0       8.176
    8800.0       8.989
    9200.0       7.981
   15300.0       9.506
    6800.0       6.412
   15900.0       7.749
    4000.0       5.699
   14400.0       9.884
    6200.0       5.767
   12000.0       8.346
   19000.0       8.099
