# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 3.7291e-12 3.5484e-12 6.6976e+03 8.0314e+00
1.9931e+04 1.1792e-11 1.1221e-11 6.6976e+03 8.0314e+00
6.3027e+04 3.7291e-11 3.5484e-11 6.6976e+03 8.0314e+00
1.9931e+05 1.1791e-10 1.1221e-10 6.6976e+03 8.0314e+00
6.3027e+05 3.7281e-10 3.5484e-10 6.6976e+03 8.0314e+00
1.9931e+06 1.1787e-09 1.1221e-09 6.6976e+03 8.0314e+00
6.3027e+06 3.7196e-09 3.5484e-09 6.6976e+03 8.0314e+00
1.9931e+07 1.1647e-08 1.1221e-08 6.6976e+03 8.0314e+00
6.3027e+07 3.6188e-08 3.5484e-08 6.6976e+03 8.0314e+00
1.9931e+08 1.1425e-07 1.1221e-07 6.6976e+03 8.0314e+00
6.3027e+08 3.6251e-07 3.5484e-07 6.6976e+03 8.0314e+00
1.9931e+09 1.1328e-06 1.1221e-06 6.6975e+03 8.0313e+00
6.3027e+09 3.5686e-06 3.5484e-06 6.6975e+03 8.0312e+00
1.9931e+10 7.2257e-06 1.1221e-05 6.6961e+03 8.0311e+00
6.3027e+10 1.9759e-05 3.5484e-05 6.9441e+03 8.0304e+00
1.9931e+11 5.4190e-05 1.1221e-04 6.9131e+03 8.0304e+00
6.3027e+11 1.5246e-04 3.5484e-04 6.8854e+03 8.0304e+00
