# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 2.3909e-12 2.3965e-12 5.8954e+03 8.0347e+00
1.9931e+04 7.5608e-12 7.5783e-12 5.8954e+03 8.0347e+00
6.3027e+04 2.3909e-11 2.3965e-11 5.8954e+03 8.0347e+00
1.9931e+05 7.5608e-11 7.5783e-11 5.8954e+03 8.0347e+00
6.3027e+05 2.3909e-10 2.3965e-10 5.8954e+03 8.0347e+00
1.9931e+06 7.5608e-10 7.5783e-10 5.8954e+03 8.0347e+00
6.3027e+06 2.3909e-09 2.3965e-09 5.8954e+03 8.0347e+00
1.9931e+07 6.1526e-09 7.5783e-09 5.7305e+03 8.0354e+00
6.3027e+07 1.7581e-08 2.3965e-08 5.6836e+03 8.0357e+00
1.9931e+08 7.5675e-08 7.5783e-08 5.8951e+03 8.0347e+00
6.3027e+08 2.3982e-07 2.3965e-07 5.8945e+03 8.0347e+00
1.9931e+09 7.6246e-07 7.5783e-07 5.8991e+03 8.0346e+00
6.3027e+09 1.3201e-06 2.3965e-06 5.4573e+03 8.0369e+00
1.9931e+10 7.1468e-06 7.5783e-06 5.8872e+03 8.0344e+00
6.3027e+10 2.0052e-05 2.3965e-05 5.8453e+03 8.0345e+00
1.9931e+11 5.2482e-05 7.5783e-05 5.7746e+03 8.0348e+00
6.3027e+11 1.5214e-04 2.3965e-04 5.8198e+03 8.0346e+00
