# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 8.6748e-11 4.9936e-10 1.4985e+04 8.0027e+00
1.9931e+04 2.0662e-10 1.5791e-09 1.4985e+04 8.0027e+00
6.3027e+04 4.8507e-10 4.9936e-09 1.4985e+04 8.0027e+00
1.9931e+05 1.1257e-09 1.5791e-08 1.4985e+04 8.0027e+00
6.3027e+05 2.5872e-09 4.9936e-08 1.4985e+04 8.0027e+00
1.9931e+06 5.8952e-09 1.5791e-07 1.4985e+04 8.0027e+00
6.3027e+06 1.3284e-08 4.9936e-07 1.4985e+04 8.0027e+00
1.9931e+07 2.9590e-08 1.5791e-06 1.4985e+04 8.0027e+00
6.3027e+07 6.5334e-08 4.9936e-06 1.4985e+04 8.0027e+00
1.9931e+08 1.4347e-07 1.5791e-05 1.4985e+04 8.0027e+00
6.3027e+08 3.1457e-07 4.9936e-05 1.4985e+04 8.0027e+00
1.9931e+09 6.9726e-07 1.5791e-04 1.4985e+04 8.0027e+00
6.3027e+09 1.5673e-06 4.9936e-04 1.4985e+04 8.0027e+00
1.9931e+10 3.3815e-06 1.5791e-03 1.4985e+04 8.0027e+00
6.3027e+10 6.8563e-06 4.9936e-03 1.4985e+04 8.0027e+00
1.9931e+11 1.4693e-05 1.5791e-02 1.4984e+04 8.0027e+00
6.3027e+11 3.1438e-05 4.9936e-02 1.4982e+04 8.0026e+00
