# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 3.7707e-11 3.7067e-11 1.1014e+04 8.0165e+00
1.9931e+04 1.1924e-10 1.1721e-10 1.1014e+04 8.0165e+00
6.3027e+04 3.7707e-10 3.7067e-10 1.1014e+04 8.0165e+00
1.9931e+05 1.1924e-09 1.1721e-09 1.1014e+04 8.0165e+00
6.3027e+05 2.3992e-09 3.7067e-09 1.1014e+04 8.0165e+00
1.9931e+06 5.0664e-09 1.1721e-08 1.1014e+04 8.0165e+00
6.3027e+06 1.1375e-08 3.7067e-08 1.1014e+04 8.0165e+00
1.9931e+07 2.5846e-08 1.1721e-07 1.1014e+04 8.0165e+00
6.3027e+07 5.8732e-08 3.7067e-07 1.1014e+04 8.0165e+00
1.9931e+08 1.3289e-07 1.1721e-06 1.1014e+04 8.0165e+00
6.3027e+08 2.9985e-07 3.7067e-06 1.1014e+04 8.0165e+00
1.9931e+09 6.7755e-07 1.1721e-05 1.1014e+04 8.0165e+00
6.3027e+09 1.5466e-06 3.7067e-05 1.1014e+04 8.0165e+00
1.9931e+10 3.4196e-06 1.1721e-04 1.1013e+04 8.0164e+00
6.3027e+10 7.5968e-06 3.7067e-04 1.1012e+04 8.0164e+00
1.9931e+11 1.7117e-05 1.1721e-03 1.1010e+04 8.0163e+00
6.3027e+11 3.7819e-05 3.7067e-03 1.1004e+04 8.0161e+00
