6.3027e+03 5.6899e-11 5.0780e-10 2.0502e+04
1.9931e+04 1.3210e-10 1.6058e-09 2.0502e+04
6.3027e+04 3.0163e-10 5.0780e-09 2.0502e+04
1.9931e+05 6.8171e-10 1.6058e-08 2.0502e+04
6.3027e+05 1.5180e-09 5.0780e-08 2.0502e+04
1.9931e+06 3.3611e-09 1.6058e-07 2.0502e+04
6.3027e+06 7.4368e-09 5.0780e-07 2.0502e+04
1.9931e+07 1.6395e-08 1.6058e-06 2.0502e+04
6.3027e+07 3.6098e-08 5.0780e-06 2.0502e+04
1.9931e+08 7.9798e-08 1.6058e-05 2.0502e+04
6.3027e+08 1.7610e-07 5.0780e-05 2.0502e+04
1.9931e+09 3.8871e-07 1.6058e-04 2.0502e+04
6.3027e+09 8.6589e-07 5.0780e-04 2.0502e+04
1.9931e+10 1.9417e-06 1.6058e-03 2.0502e+04
6.3027e+10 3.6665e-06 5.0780e-03 2.0502e+04
1.9931e+11 7.7712e-06 1.6058e-02 2.0501e+04
6.3027e+11 1.7061e-05 5.0780e-02 2.0500e+04
