# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 7.0858e-11 5.9298e-10 1.7985e+04 7.9915e+00
1.9931e+04 1.6547e-10 1.8752e-09 1.7985e+04 7.9915e+00
6.3027e+04 3.8062e-10 5.9298e-09 1.7985e+04 7.9915e+00
1.9931e+05 8.6476e-10 1.8752e-08 1.7985e+04 7.9915e+00
6.3027e+05 1.9499e-09 5.9298e-08 1.7985e+04 7.9915e+00
1.9931e+06 4.3338e-09 1.8752e-07 1.7985e+04 7.9915e+00
6.3027e+06 9.5542e-09 5.9298e-07 1.7985e+04 7.9915e+00
1.9931e+07 2.1032e-08 1.8752e-06 1.7985e+04 7.9915e+00
6.3027e+07 4.6208e-08 5.9298e-06 1.7985e+04 7.9915e+00
1.9931e+08 1.0137e-07 1.8752e-05 1.7985e+04 7.9915e+00
6.3027e+08 2.2322e-07 5.9298e-05 1.7985e+04 7.9915e+00
1.9931e+09 4.9463e-07 1.8752e-04 1.7985e+04 7.9915e+00
6.3027e+09 1.0995e-06 5.9298e-04 1.7985e+04 7.9915e+00
1.9931e+10 2.4272e-06 1.8752e-03 1.7984e+04 7.9914e+00
6.3027e+10 4.6389e-06 5.9298e-03 1.7984e+04 7.9914e+00
1.9931e+11 9.5784e-06 1.8752e-02 1.7982e+04 7.9914e+00
6.3027e+11 2.0771e-05 5.9298e-02 1.7982e+04 7.9914e+00
