# Teff     (actual)   log(g)     log(Mcv/.6) C12        O16        Na23       Mg24       Al27       Si28       Ca40       Ti48       Cr52       Fe56
6.0000e+03 5.9991e+03 8.0342e+00 -7.8094e+00 4.2573e+00 4.3303e+00 4.0949e+00 4.0564e+00 4.0010e+00 3.8702e+00 4.1300e+00 4.0304e+00 3.9310e+00 3.8900e+00
6.5000e+03 6.4986e+03 8.0323e+00 -8.2512e+00 3.9809e+00 4.0572e+00 3.8131e+00 3.7998e+00 3.6540e+00 3.5917e+00 3.7878e+00 3.6949e+00 3.5924e+00 3.6189e+00
7.0000e+03 6.9976e+03 8.0306e+00 -8.5222e+00 3.8338e+00 3.9012e+00 3.6460e+00 3.6249e+00 3.4721e+00 3.4464e+00 3.6139e+00 3.5067e+00 3.4046e+00 3.4617e+00
7.5000e+03 7.4969e+03 8.0289e+00 -8.7511e+00 3.6879e+00 3.7603e+00 3.5091e+00 3.4774e+00 3.3287e+00 3.3028e+00 3.4750e+00 3.3428e+00 3.2460e+00 3.3247e+00
8.0000e+03 7.9994e+03 8.0272e+00 -8.9849e+00 3.5523e+00 3.6214e+00 3.3551e+00 3.3105e+00 3.1875e+00 3.1688e+00 3.3372e+00 3.1957e+00 3.0915e+00 3.1850e+00
8.5000e+03 8.4991e+03 8.0255e+00 -9.2275e+00 3.4046e+00 3.4709e+00 3.1848e+00 3.1439e+00 3.0426e+00 3.0216e+00 3.1865e+00 3.0454e+00 2.9424e+00 3.0279e+00
9.0000e+03 8.9937e+03 8.0238e+00 -9.5170e+00 3.2304e+00 3.2723e+00 2.9774e+00 2.9350e+00 2.8664e+00 2.8485e+00 2.9957e+00 2.8552e+00 2.7713e+00 2.8289e+00
9.5000e+03 9.4997e+03 8.0220e+00 -9.7605e+00 3.0807e+00 3.0993e+00 2.7991e+00 2.7721e+00 2.7134e+00 2.6999e+00 2.8247e+00 2.6902e+00 2.6256e+00 2.6677e+00
1.0000e+04 9.9942e+03 8.0202e+00 -1.0251e+01 2.7752e+00 2.7551e+00 2.4842e+00 2.4591e+00 2.2849e+00 2.3975e+00 2.4679e+00 2.3434e+00 2.3276e+00 2.3132e+00
1.0500e+04 1.0488e+04 8.0183e+00 -1.0928e+01 2.3481e+00 2.2194e+00 1.9873e+00 1.8792e+00 1.8257e+00 1.9730e+00 1.9514e+00 1.8086e+00 1.9119e+00 1.8567e+00
1.1000e+04 1.0993e+04 8.0164e+00 -1.1872e+01 1.7424e+00 1.5520e+00 1.2795e+00 1.0427e+00 1.2254e+00 1.3768e+00 1.2236e+00 1.1432e+00 1.2330e+00 1.1840e+00
1.1500e+04 1.1499e+04 8.0144e+00 -1.3147e+01 7.4402e-01 5.7918e-01 2.1533e-01 1.7977e-01 3.8994e-01 5.4935e-01 2.2032e-01 3.1781e-01 2.8456e-01 2.1358e-01
1.2000e+04 1.1992e+04 8.0127e+00 -1.4698e+01 -5.5196e-01 -7.0814e-01 -1.3172e+00 -8.5012e-01 -6.3472e-01 -6.5315e-01 -1.0710e+00 -8.8082e-01 -9.1530e-01 -9.4716e-01
1.2500e+04 1.2485e+04 8.0110e+00 -1.5953e+01 -1.6971e+00 -1.9663e+00 -2.1240e+00 -1.6439e+00 -1.6901e+00 -1.7108e+00 -1.8661e+00 -1.9454e+00 -1.9789e+00 -2.0115e+00
1.3000e+04 1.2986e+04 8.0094e+00 -1.6103e+01 -1.9121e+00 -2.0535e+00 -2.2121e+00 -1.7400e+00 -1.8271e+00 -1.8073e+00 -1.9629e+00 -2.0423e+00 -2.0772e+00 -2.1094e+00
1.3500e+04 1.3498e+04 8.0077e+00 -1.6203e+01 -1.9954e+00 -2.1254e+00 -2.2838e+00 -1.8090e+00 -1.9515e+00 -1.8764e+00 -2.0319e+00 -2.1114e+00 -2.1462e+00 -2.1785e+00
1.4000e+04 1.4000e+04 8.0060e+00 -1.6292e+01 -2.0585e+00 -2.1858e+00 -2.3321e+00 -1.8700e+00 -2.0932e+00 -1.9374e+00 -2.0931e+00 -2.1725e+00 -2.2074e+00 -2.2272e+00
1.4500e+04 1.4494e+04 8.0043e+00 -1.6356e+01 -2.1077e+00 -2.2342e+00 -2.3927e+00 -1.9161e+00 -2.1375e+00 -1.9835e+00 -2.1392e+00 -2.2187e+00 -2.2536e+00 -2.2858e+00
1.5000e+04 1.4983e+04 8.0026e+00 -1.6430e+01 -2.1621e+00 -2.2885e+00 -2.4473e+00 -1.9693e+00 -2.2683e+00 -2.0368e+00 -2.1926e+00 -2.2721e+00 -2.3071e+00 -2.3393e+00
1.5500e+04 1.5489e+04 8.0009e+00 -1.6501e+01 -2.2151e+00 -2.3416e+00 -2.5005e+00 -2.0211e+00 -2.4077e+00 -2.0886e+00 -2.2445e+00 -2.3241e+00 -2.3590e+00 -2.3913e+00
1.6000e+04 1.5984e+04 7.9991e+00 -1.6622e+01 -2.3042e+00 -2.4307e+00 -2.5896e+00 -2.1081e+00 -2.6023e+00 -2.1757e+00 -2.3318e+00 -2.4114e+00 -2.4464e+00 -2.4786e+00
1.6500e+04 1.6496e+04 7.9972e+00 -1.6872e+01 -2.4855e+00 -2.6130e+00 -2.7726e+00 -2.2900e+00 -2.8428e+00 -2.3619e+00 -2.5145e+00 -2.5943e+00 -2.6479e+00 -2.6620e+00
1.7000e+04 1.6991e+04 7.9953e+00 -1.6836e+01 -2.4658e+00 -2.5932e+00 -2.7529e+00 -2.2694e+00 -2.8193e+00 -2.3373e+00 -2.4939e+00 -2.5737e+00 -2.6088e+00 -2.6411e+00
1.7500e+04 1.7485e+04 7.9934e+00 -1.6787e+01 -2.4363e+00 -2.5637e+00 -2.7234e+00 -2.2507e+00 -2.7555e+00 -2.3071e+00 -2.4637e+00 -2.5435e+00 -2.5785e+00 -2.6109e+00
1.8000e+04 1.7981e+04 7.9914e+00 -1.6787e+01 -2.4429e+00 -2.5704e+00 -2.7301e+00 -2.2449e+00 -2.6484e+00 -2.3128e+00 -2.4694e+00 -2.5493e+00 -2.5843e+00 -2.6167e+00
1.8500e+04 1.8471e+04 7.9894e+00 -1.6757e+01 -2.4271e+00 -2.5547e+00 -2.7144e+00 -2.2285e+00 -2.3881e+00 -2.2965e+00 -2.4531e+00 -2.5329e+00 -2.5679e+00 -2.6003e+00
1.9000e+04 1.8992e+04 7.9872e+00 -1.6703e+01 -2.3906e+00 -2.5212e+00 -2.6809e+00 -2.1946e+00 -2.2487e+00 -2.2625e+00 -2.4191e+00 -2.4989e+00 -2.5339e+00 -2.5663e+00
1.9500e+04 1.9485e+04 7.9851e+00 -1.6690e+01 -2.3784e+00 -2.5181e+00 -2.6778e+00 -2.1908e+00 -2.2427e+00 -2.2587e+00 -2.4153e+00 -2.4951e+00 -2.5301e+00 -2.5625e+00
2.0000e+04 1.9973e+04 7.9830e+00 -1.6644e+01 -2.2610e+00 -2.4894e+00 -2.6491e+00 -2.1617e+00 -2.2136e+00 -2.2296e+00 -2.3862e+00 -2.4660e+00 -2.5009e+00 -2.5333e+00
2.0500e+04 2.0499e+04 7.9808e+00 -1.6622e+01 -2.0870e+00 -2.4797e+00 -2.6394e+00 -2.1515e+00 -2.2033e+00 -2.2193e+00 -2.3759e+00 -2.4557e+00 -2.4906e+00 -2.5230e+00
