# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 7.8948e-12 7.8934e-12 7.0229e+03 7.5077e+00
1.9931e+04 2.4966e-11 2.4961e-11 7.0229e+03 7.5077e+00
6.3027e+04 7.8948e-11 7.8934e-11 7.0229e+03 7.5077e+00
1.9931e+05 2.4966e-10 2.4961e-10 7.0229e+03 7.5077e+00
6.3027e+05 7.8948e-10 7.8934e-10 7.0229e+03 7.5077e+00
1.9931e+06 2.5001e-09 2.4961e-09 7.0229e+03 7.5077e+00
6.3027e+06 7.9334e-09 7.8934e-09 7.0229e+03 7.5077e+00
1.9931e+07 2.5098e-08 2.4961e-08 7.0229e+03 7.5077e+00
6.3027e+07 7.8921e-08 7.8934e-08 7.0229e+03 7.5077e+00
1.9931e+08 2.5118e-07 2.4961e-07 7.0229e+03 7.5077e+00
6.3027e+08 7.9224e-07 7.8934e-07 7.0229e+03 7.5077e+00
1.9931e+09 1.6703e-06 2.4961e-06 7.0228e+03 7.5076e+00
6.3027e+09 1.6644e-06 7.8934e-06 7.0227e+03 7.5076e+00
1.9931e+10 3.0698e-06 2.4961e-05 7.0225e+03 7.5076e+00
6.3027e+10 6.7069e-06 7.8934e-05 7.0220e+03 7.5076e+00
1.9931e+11 1.4514e-05 2.4961e-04 7.0314e+03 7.5074e+00
6.3027e+11 3.1186e-05 7.8934e-04 7.0360e+03 7.5071e+00
