# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 2.5041e-11 2.5284e-11 9.1648e+03 7.4775e+00
1.9931e+04 7.9187e-11 7.9954e-11 9.1648e+03 7.4775e+00
6.3027e+04 2.5041e-10 2.5284e-10 9.1648e+03 7.4775e+00
1.9931e+05 7.9187e-10 7.9954e-10 9.1648e+03 7.4775e+00
6.3027e+05 2.5185e-09 2.5284e-09 9.1648e+03 7.4775e+00
1.9931e+06 7.9282e-09 7.9954e-09 9.1648e+03 7.4775e+00
6.3027e+06 2.5152e-08 2.5284e-08 9.1648e+03 7.4775e+00
1.9931e+07 6.3810e-08 7.9954e-08 9.1648e+03 7.4775e+00
6.3027e+07 7.6172e-08 2.5284e-07 9.1648e+03 7.4775e+00
1.9931e+08 1.3330e-07 7.9954e-07 9.1648e+03 7.4775e+00
6.3027e+08 2.8211e-07 2.5284e-06 9.1647e+03 7.4775e+00
1.9931e+09 6.2708e-07 7.9954e-06 9.1647e+03 7.4775e+00
6.3027e+09 1.4183e-06 2.5284e-05 9.1645e+03 7.4775e+00
1.9931e+10 3.1278e-06 7.9954e-05 9.1640e+03 7.4774e+00
6.3027e+10 6.8771e-06 2.5284e-04 9.1631e+03 7.4773e+00
1.9931e+11 1.5274e-05 7.9954e-04 9.1613e+03 7.4770e+00
6.3027e+11 3.3077e-05 2.5284e-03 9.1576e+03 7.4766e+00
