# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 5.2420e-12 5.1561e-12 5.9999e+03 7.5222e+00
1.9931e+04 1.6577e-11 1.6305e-11 5.9999e+03 7.5222e+00
6.3027e+04 5.2420e-11 5.1561e-11 5.9999e+03 7.5222e+00
1.9931e+05 1.6577e-10 1.6305e-10 5.9999e+03 7.5222e+00
6.3027e+05 5.2348e-10 5.1561e-10 5.9999e+03 7.5222e+00
1.9931e+06 1.6543e-09 1.6305e-09 5.9999e+03 7.5222e+00
6.3027e+06 5.2219e-09 5.1561e-09 5.9999e+03 7.5222e+00
1.9931e+07 1.6457e-08 1.6305e-08 5.9999e+03 7.5222e+00
6.3027e+07 5.1341e-08 5.1561e-08 5.9999e+03 7.5222e+00
1.9931e+08 1.6097e-07 1.6305e-07 5.9998e+03 7.5222e+00
6.3027e+08 5.0240e-07 5.1561e-07 5.9998e+03 7.5222e+00
1.9931e+09 1.5880e-06 1.6305e-06 5.9998e+03 7.5222e+00
6.3027e+09 4.9174e-06 5.1561e-06 5.9997e+03 7.5222e+00
1.9931e+10 3.5481e-06 1.6305e-05 5.9994e+03 7.5222e+00
6.3027e+10 6.9813e-06 5.1561e-05 5.9992e+03 7.5222e+00
1.9931e+11 1.5995e-05 1.6305e-04 5.9979e+03 7.5222e+00
6.3027e+11 3.5714e-05 5.1561e-04 5.9960e+03 7.5223e+00
