# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 8.2562e-11 9.7877e-10 1.4029e+04 7.3934e+00
1.9931e+04 1.9145e-10 3.0951e-09 1.4029e+04 7.3934e+00
6.3027e+04 4.3882e-10 9.7877e-09 1.4029e+04 7.3934e+00
1.9931e+05 9.9226e-10 3.0951e-08 1.4029e+04 7.3934e+00
6.3027e+05 2.2121e-09 9.7877e-08 1.4029e+04 7.3934e+00
1.9931e+06 4.9228e-09 3.0951e-07 1.4029e+04 7.3934e+00
6.3027e+06 1.0855e-08 9.7877e-07 1.4029e+04 7.3934e+00
1.9931e+07 2.3895e-08 3.0951e-06 1.4029e+04 7.3934e+00
6.3027e+07 5.2473e-08 9.7877e-06 1.4029e+04 7.3934e+00
1.9931e+08 1.1591e-07 3.0951e-05 1.4029e+04 7.3934e+00
6.3027e+08 2.5416e-07 9.7877e-05 1.4029e+04 7.3934e+00
1.9931e+09 5.0612e-07 3.0951e-04 1.4029e+04 7.3934e+00
6.3027e+09 1.1102e-06 9.7877e-04 1.4029e+04 7.3934e+00
1.9931e+10 2.4654e-06 3.0951e-03 1.4029e+04 7.3933e+00
6.3027e+10 5.2131e-06 9.7877e-03 1.4028e+04 7.3933e+00
1.9931e+11 1.1177e-05 3.0951e-02 1.4027e+04 7.3932e+00
6.3027e+11 2.4227e-05 9.7877e-02 1.4025e+04 7.3931e+00
