# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 1.1841e-10 1.7934e-10 1.1023e+04 7.4452e+00
1.9931e+04 2.7914e-10 5.6711e-10 1.1023e+04 7.4452e+00
6.3027e+04 6.6945e-10 1.7934e-09 1.1023e+04 7.4452e+00
1.9931e+05 1.5736e-09 5.6711e-09 1.1023e+04 7.4452e+00
6.3027e+05 3.6349e-09 1.7934e-08 1.1023e+04 7.4452e+00
1.9931e+06 8.2880e-09 5.6711e-08 1.1023e+04 7.4452e+00
6.3027e+06 1.8721e-08 1.7934e-07 1.1023e+04 7.4452e+00
1.9931e+07 4.2009e-08 5.6711e-07 1.1023e+04 7.4452e+00
6.3027e+07 9.3841e-08 1.7934e-06 1.1023e+04 7.4452e+00
1.9931e+08 2.0913e-07 5.6711e-06 1.1023e+04 7.4452e+00
6.3027e+08 4.6633e-07 1.7934e-05 1.1022e+04 7.4452e+00
1.9931e+09 1.0462e-06 5.6711e-05 1.1022e+04 7.4452e+00
6.3027e+09 2.3337e-06 1.7934e-04 1.1022e+04 7.4452e+00
1.9931e+10 5.1518e-06 5.6711e-04 1.1022e+04 7.4451e+00
6.3027e+10 9.4197e-06 1.7934e-03 1.1020e+04 7.4450e+00
1.9931e+11 2.1197e-05 5.6711e-03 1.1018e+04 7.4448e+00
6.3027e+11 4.8033e-05 1.7934e-02 1.1011e+04 7.4444e+00
