# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 7.1734e-11 -9.8512e+83 1.5022e+04 7.3757e+00
1.9931e+04 1.6497e-10 -3.1152e+84 1.5022e+04 7.3757e+00
6.3027e+04 3.7447e-10 -9.8512e+84 1.5022e+04 7.3757e+00
1.9931e+05 8.4070e-10 -3.1152e+85 1.5022e+04 7.3757e+00
6.3027e+05 1.8667e-09 -9.8512e+85 1.5022e+04 7.3757e+00
1.9931e+06 4.1458e-09 -3.1152e+86 1.5022e+04 7.3757e+00
6.3027e+06 9.1616e-09 -9.8512e+86 1.5022e+04 7.3757e+00
1.9931e+07 2.0224e-08 -3.1152e+87 1.5022e+04 7.3757e+00
6.3027e+07 4.4714e-08 -9.8512e+87 1.5022e+04 7.3757e+00
1.9931e+08 9.8650e-08 -3.1152e+88 1.5022e+04 7.3757e+00
6.3027e+08 2.1654e-07 -9.8512e+88 1.5022e+04 7.3757e+00
1.9931e+09 4.7761e-07 -3.1152e+89 1.5022e+04 7.3757e+00
6.3027e+09 1.0522e-06 -9.8512e+89 1.5022e+04 7.3757e+00
1.9931e+10 1.9111e-06 -3.1152e+90 1.5022e+04 7.3757e+00
6.3027e+10 4.4893e-06 -9.8512e+90 1.5021e+04 7.3757e+00
1.9931e+11 8.8635e-06 -3.1152e+91 1.5020e+04 7.3756e+00
6.3027e+11 1.9501e-05 -9.8512e+91 1.5018e+04 7.3755e+00
