# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 4.6726e-11 1.0078e-09 1.8020e+04 7.3155e+00
1.9931e+04 1.0489e-10 3.1868e-09 1.8020e+04 7.3155e+00
6.3027e+04 2.3451e-10 1.0078e-08 1.8020e+04 7.3155e+00
1.9931e+05 5.2132e-10 3.1868e-08 1.8020e+04 7.3155e+00
6.3027e+05 1.1611e-09 1.0078e-07 1.8020e+04 7.3155e+00
1.9931e+06 2.5624e-09 3.1868e-07 1.8020e+04 7.3155e+00
6.3027e+06 5.7028e-09 1.0078e-06 1.8020e+04 7.3155e+00
1.9931e+07 1.2589e-08 3.1868e-06 1.8020e+04 7.3155e+00
6.3027e+07 2.7791e-08 1.0078e-05 1.8020e+04 7.3155e+00
1.9931e+08 6.1077e-08 3.1868e-05 1.8020e+04 7.3155e+00
6.3027e+08 1.3412e-07 1.0078e-04 1.8020e+04 7.3155e+00
1.9931e+09 2.9485e-07 3.1868e-04 1.8020e+04 7.3155e+00
6.3027e+09 6.5008e-07 1.0078e-03 1.8020e+04 7.3155e+00
1.9931e+10 1.4548e-06 3.1868e-03 1.8020e+04 7.3155e+00
6.3027e+10 2.8018e-06 1.0078e-02 1.8019e+04 7.3154e+00
1.9931e+11 5.7821e-06 3.1868e-02 1.8018e+04 7.3154e+00
6.3027e+11 1.2750e-05 1.0078e-01 1.8016e+04 7.3152e+00
