# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 1.0555e-10 7.7274e-10 1.2026e+04 7.4285e+00
1.9931e+04 2.4817e-10 2.4436e-09 1.2026e+04 7.4285e+00
6.3027e+04 5.7638e-10 7.7274e-09 1.2026e+04 7.4285e+00
1.9931e+05 1.3257e-09 2.4436e-08 1.2026e+04 7.4285e+00
6.3027e+05 3.0254e-09 7.7274e-08 1.2026e+04 7.4285e+00
1.9931e+06 6.8621e-09 2.4436e-07 1.2026e+04 7.4285e+00
6.3027e+06 1.5488e-08 7.7274e-07 1.2026e+04 7.4285e+00
1.9931e+07 3.4825e-08 2.4436e-06 1.2026e+04 7.4285e+00
6.3027e+07 7.8088e-08 7.7274e-06 1.2026e+04 7.4285e+00
1.9931e+08 1.7484e-07 2.4436e-05 1.2026e+04 7.4285e+00
6.3027e+08 3.9160e-07 7.7274e-05 1.2026e+04 7.4285e+00
1.9931e+09 8.8226e-07 2.4436e-04 1.2026e+04 7.4285e+00
6.3027e+09 1.9760e-06 7.7274e-04 1.2026e+04 7.4285e+00
1.9931e+10 4.3630e-06 2.4436e-03 1.2026e+04 7.4285e+00
6.3027e+10 9.8963e-06 7.7274e-03 1.2026e+04 7.4285e+00
1.9931e+11 2.4873e-05 2.4436e-02 1.2025e+04 7.4284e+00
6.3027e+11 4.8981e-05 7.7274e-02 1.2023e+04 7.4283e+00
