# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 9.3697e-11 8.7843e-10 1.3031e+04 7.4111e+00
1.9931e+04 2.1864e-10 2.7779e-09 1.3031e+04 7.4111e+00
6.3027e+04 5.0500e-10 8.7843e-09 1.3031e+04 7.4111e+00
1.9931e+05 1.1569e-09 2.7779e-08 1.3031e+04 7.4111e+00
6.3027e+05 2.6331e-09 8.7843e-08 1.3031e+04 7.4111e+00
1.9931e+06 5.9614e-09 2.7779e-07 1.3031e+04 7.4111e+00
6.3027e+06 1.3440e-08 8.7843e-07 1.3031e+04 7.4111e+00
1.9931e+07 3.0199e-08 2.7779e-06 1.3031e+04 7.4111e+00
6.3027e+07 6.7690e-08 8.7843e-06 1.3031e+04 7.4111e+00
1.9931e+08 1.5151e-07 2.7779e-05 1.3031e+04 7.4111e+00
6.3027e+08 3.3926e-07 8.7843e-05 1.3031e+04 7.4111e+00
1.9931e+09 7.6306e-07 2.7779e-04 1.3031e+04 7.4110e+00
6.3027e+09 1.7385e-06 8.7843e-04 1.3031e+04 7.4110e+00
1.9931e+10 3.7851e-06 2.7779e-03 1.3031e+04 7.4110e+00
6.3027e+10 8.2405e-06 8.7843e-03 1.3031e+04 7.4110e+00
1.9931e+11 1.9624e-05 2.7779e-02 1.3030e+04 7.4109e+00
6.3027e+11 4.1788e-05 8.7843e-02 1.3028e+04 7.4108e+00
