# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 1.2224e-11 1.1787e-11 8.0710e+03 7.4932e+00
1.9931e+04 3.8657e-11 3.7273e-11 8.0710e+03 7.4932e+00
6.3027e+04 1.2224e-10 1.1787e-10 8.0710e+03 7.4932e+00
1.9931e+05 3.8519e-10 3.7273e-10 8.0710e+03 7.4932e+00
6.3027e+05 1.2120e-09 1.1787e-09 8.0710e+03 7.4932e+00
1.9931e+06 3.8364e-09 3.7273e-09 8.0710e+03 7.4932e+00
6.3027e+06 1.2095e-08 1.1787e-08 8.0710e+03 7.4932e+00
1.9931e+07 3.8264e-08 3.7273e-08 8.0710e+03 7.4932e+00
6.3027e+07 1.2042e-07 1.1787e-07 8.0710e+03 7.4932e+00
1.9931e+08 3.1900e-07 3.7273e-07 8.0710e+03 7.4932e+00
6.3027e+08 3.6195e-07 1.1787e-06 8.0710e+03 7.4932e+00
1.9931e+09 6.0954e-07 3.7273e-06 8.0709e+03 7.4932e+00
6.3027e+09 1.3377e-06 1.1787e-05 8.0708e+03 7.4932e+00
1.9931e+10 2.9437e-06 3.7273e-05 8.0705e+03 7.4932e+00
6.3027e+10 6.4923e-06 1.1787e-04 8.0698e+03 7.4931e+00
1.9931e+11 1.4490e-05 3.7273e-04 8.0683e+03 7.4929e+00
6.3027e+11 3.1650e-05 1.1787e-03 8.0655e+03 7.4926e+00
