# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 5.4509e-11 5.4435e-11 1.0034e+04 7.4619e+00
1.9931e+04 1.7214e-10 1.7214e-10 1.0034e+04 7.4619e+00
6.3027e+04 5.4256e-10 5.4435e-10 1.0034e+04 7.4619e+00
1.9931e+05 1.6891e-09 1.7214e-09 1.0034e+04 7.4619e+00
6.3027e+05 2.9027e-09 5.4435e-09 1.0034e+04 7.4619e+00
1.9931e+06 5.5584e-09 1.7214e-08 1.0034e+04 7.4619e+00
6.3027e+06 1.2105e-08 5.4435e-08 1.0034e+04 7.4619e+00
1.9931e+07 2.7147e-08 1.7214e-07 1.0034e+04 7.4619e+00
6.3027e+07 6.0999e-08 5.4435e-07 1.0034e+04 7.4619e+00
1.9931e+08 1.3685e-07 1.7214e-06 1.0034e+04 7.4619e+00
6.3027e+08 3.0672e-07 5.4435e-06 1.0034e+04 7.4619e+00
1.9931e+09 6.8926e-07 1.7214e-05 1.0033e+04 7.4619e+00
6.3027e+09 1.5666e-06 5.4435e-05 1.0033e+04 7.4618e+00
1.9931e+10 3.4413e-06 1.7214e-04 1.0033e+04 7.4617e+00
6.3027e+10 7.5842e-06 5.4435e-04 1.0031e+04 7.4616e+00
1.9931e+11 1.6890e-05 1.7214e-03 1.0029e+04 7.4613e+00
6.3027e+11 3.6560e-05 5.4435e-03 1.0023e+04 7.4608e+00
