# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 1.0182e-12 9.9582e-13 5.7706e+03 8.5021e+00
1.9931e+04 3.2197e-12 3.1491e-12 5.7706e+03 8.5021e+00
6.3027e+04 1.0182e-11 9.9582e-12 5.7706e+03 8.5021e+00
1.9931e+05 3.2196e-11 3.1491e-11 5.7706e+03 8.5021e+00
6.3027e+05 1.0182e-10 9.9582e-11 5.7706e+03 8.5021e+00
1.9931e+06 3.2198e-10 3.1491e-10 5.7706e+03 8.5021e+00
6.3027e+06 1.0182e-09 9.9582e-10 5.7706e+03 8.5021e+00
1.9931e+07 3.2195e-09 3.1491e-09 5.7706e+03 8.5021e+00
6.3027e+07 1.0178e-08 9.9582e-09 5.7706e+03 8.5021e+00
1.9931e+08 3.7888e-08 3.1491e-08 5.8766e+03 8.5018e+00
6.3027e+08 1.1982e-07 9.9582e-08 5.8758e+03 8.5018e+00
1.9931e+09 3.1674e-07 3.1491e-07 5.7704e+03 8.5021e+00
6.3027e+09 1.1613e-06 9.9582e-07 5.8759e+03 8.5018e+00
1.9931e+10 3.1942e-06 3.1491e-06 5.7684e+03 8.5021e+00
6.3027e+10 1.0241e-05 9.9582e-06 5.9252e+03 8.5017e+00
1.9931e+11 2.9178e-05 3.1491e-05 5.9141e+03 8.5017e+00
6.3027e+11 8.1056e-05 9.9582e-05 5.8886e+03 8.5019e+00
