6.3027e+03 7.7708e-11 2.5254e-10 1.4994e+04
1.9931e+04 1.9213e-10 7.9861e-10 1.4994e+04
6.3027e+04 4.6575e-10 2.5254e-09 1.4994e+04
1.9931e+05 1.1093e-09 7.9861e-09 1.4994e+04
6.3027e+05 2.6040e-09 2.5254e-08 1.4994e+04
1.9931e+06 6.0413e-09 7.9861e-08 1.4994e+04
6.3027e+06 1.3894e-08 2.5254e-07 1.4994e+04
1.9931e+07 3.1752e-08 7.9861e-07 1.4994e+04
6.3027e+07 7.2267e-08 2.5254e-06 1.4994e+04
1.9931e+08 1.6411e-07 7.9861e-06 1.4994e+04
6.3027e+08 3.7231e-07 2.5254e-05 1.4994e+04
1.9931e+09 8.4745e-07 7.9861e-05 1.4994e+04
6.3027e+09 1.9402e-06 2.5254e-04 1.4994e+04
1.9931e+10 3.7887e-06 7.9861e-04 1.4994e+04
6.3027e+10 7.8279e-06 2.5254e-03 1.4993e+04
1.9931e+11 1.6827e-05 7.9861e-03 1.4993e+04
6.3027e+11 3.5894e-05 2.5254e-02 1.4991e+04
