# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 6.8018e-11 1.3847e-10 1.2997e+04 8.4909e+00
1.9931e+04 1.7697e-10 4.3789e-10 1.2997e+04 8.4909e+00
6.3027e+04 4.4888e-10 1.3847e-09 1.2997e+04 8.4909e+00
1.9931e+05 1.1079e-09 4.3789e-09 1.2997e+04 8.4909e+00
6.3027e+05 2.6703e-09 1.3847e-08 1.2997e+04 8.4909e+00
1.9931e+06 6.3109e-09 4.3789e-08 1.2997e+04 8.4909e+00
6.3027e+06 1.4686e-08 1.3847e-07 1.2997e+04 8.4909e+00
1.9931e+07 3.3782e-08 4.3789e-07 1.2997e+04 8.4909e+00
6.3027e+07 7.7036e-08 1.3847e-06 1.2997e+04 8.4909e+00
1.9931e+08 1.7464e-07 4.3789e-06 1.2997e+04 8.4909e+00
6.3027e+08 3.9496e-07 1.3847e-05 1.2997e+04 8.4908e+00
1.9931e+09 8.9667e-07 4.3789e-05 1.2997e+04 8.4908e+00
6.3027e+09 2.0366e-06 1.3847e-04 1.2997e+04 8.4908e+00
1.9931e+10 4.4927e-06 4.3789e-04 1.2996e+04 8.4908e+00
6.3027e+10 1.0035e-05 1.3847e-03 1.2996e+04 8.4908e+00
1.9931e+11 2.1927e-05 4.3789e-03 1.2995e+04 8.4908e+00
6.3027e+11 4.9981e-05 1.3847e-02 1.2993e+04 8.4908e+00
