# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 6.5611e-12 6.5597e-12 1.0069e+04 8.4955e+00
1.9931e+04 2.0748e-11 2.0744e-11 1.0069e+04 8.4955e+00
6.3027e+04 6.5611e-11 6.5597e-11 1.0069e+04 8.4955e+00
1.9931e+05 2.0748e-10 2.0744e-10 1.0069e+04 8.4955e+00
6.3027e+05 6.5611e-10 6.5597e-10 1.0069e+04 8.4955e+00
1.9931e+06 2.0748e-09 2.0744e-09 1.0069e+04 8.4955e+00
6.3027e+06 6.5611e-09 6.5597e-09 1.0069e+04 8.4955e+00
1.9931e+07 2.0848e-08 2.0744e-08 1.0069e+04 8.4955e+00
6.3027e+07 6.6045e-08 6.5597e-08 1.0069e+04 8.4955e+00
1.9931e+08 2.0860e-07 2.0744e-07 1.0069e+04 8.4955e+00
6.3027e+08 2.7582e-07 6.5597e-07 1.0069e+04 8.4955e+00
1.9931e+09 5.4689e-07 2.0744e-06 1.0069e+04 8.4955e+00
6.3027e+09 1.1615e-06 6.5597e-06 1.0069e+04 8.4955e+00
1.9931e+10 2.5867e-06 2.0744e-05 1.0069e+04 8.4954e+00
6.3027e+10 5.7033e-06 6.5597e-05 1.0068e+04 8.4955e+00
1.9931e+11 1.2800e-05 2.0744e-04 1.0067e+04 8.4954e+00
6.3027e+11 2.8460e-05 6.5597e-04 1.0063e+04 8.4954e+00
