# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 7.3019e-11 3.4945e-10 1.7998e+04 8.4835e+00
1.9931e+04 1.7450e-10 1.1051e-09 1.7998e+04 8.4835e+00
6.3027e+04 4.1111e-10 3.4945e-09 1.7998e+04 8.4835e+00
1.9931e+05 9.5693e-10 1.1051e-08 1.7998e+04 8.4835e+00
6.3027e+05 2.2054e-09 3.4945e-08 1.7998e+04 8.4835e+00
1.9931e+06 5.0235e-09 1.1051e-07 1.7998e+04 8.4835e+00
6.3027e+06 1.1319e-08 3.4945e-07 1.7998e+04 8.4835e+00
1.9931e+07 2.5328e-08 1.1051e-06 1.7998e+04 8.4835e+00
6.3027e+07 5.5767e-08 3.4945e-06 1.7998e+04 8.4835e+00
1.9931e+08 1.2286e-07 1.1051e-05 1.7998e+04 8.4835e+00
6.3027e+08 2.6767e-07 3.4945e-05 1.7998e+04 8.4835e+00
1.9931e+09 5.8278e-07 1.1051e-04 1.7998e+04 8.4835e+00
6.3027e+09 1.2906e-06 3.4945e-04 1.7998e+04 8.4835e+00
1.9931e+10 2.8028e-06 1.1051e-03 1.7998e+04 8.4835e+00
6.3027e+10 5.3198e-06 3.4945e-03 1.7997e+04 8.4834e+00
1.9931e+11 1.1498e-05 1.1051e-02 1.7997e+04 8.4834e+00
6.3027e+11 2.4956e-05 3.4945e-02 1.7996e+04 8.4834e+00
