# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 2.4260e-12 2.4965e-12 6.9882e+03 8.4997e+00
1.9931e+04 7.6716e-12 7.8947e-12 6.9882e+03 8.4997e+00
6.3027e+04 2.4260e-11 2.4965e-11 6.9882e+03 8.4997e+00
1.9931e+05 7.6716e-11 7.8947e-11 6.9882e+03 8.4997e+00
6.3027e+05 2.4260e-10 2.4965e-10 6.9882e+03 8.4997e+00
1.9931e+06 7.6716e-10 7.8947e-10 6.9882e+03 8.4997e+00
6.3027e+06 2.4260e-09 2.4965e-09 6.9882e+03 8.4997e+00
1.9931e+07 7.6716e-09 7.8947e-09 6.9882e+03 8.4997e+00
6.3027e+07 2.4575e-08 2.4965e-08 7.0001e+03 8.4997e+00
1.9931e+08 7.2029e-08 7.8947e-08 6.7666e+03 8.5000e+00
6.3027e+08 2.4453e-07 2.4965e-07 7.0001e+03 8.4997e+00
1.9931e+09 6.9705e-07 7.8947e-07 6.8539e+03 8.4999e+00
6.3027e+09 2.2569e-06 2.4965e-06 6.8537e+03 8.4999e+00
1.9931e+10 6.7936e-06 7.8947e-06 6.7917e+03 8.5000e+00
6.3027e+10 1.8998e-05 2.4965e-05 6.7646e+03 8.5000e+00
1.9931e+11 1.4300e-05 7.8947e-05 6.9356e+03 8.4998e+00
6.3027e+11 3.3102e-05 2.4965e-04 6.8949e+03 8.4999e+00
