# Mdot     XCa_surf   Eq2        Teff       logg
6.3027e+03 6.1536e-11 3.0105e-10 2.0498e+04 8.4794e+00
1.9931e+04 1.4648e-10 9.5200e-10 2.0498e+04 8.4794e+00
6.3027e+04 3.4378e-10 3.0105e-09 2.0498e+04 8.4794e+00
1.9931e+05 7.9743e-10 9.5200e-09 2.0498e+04 8.4794e+00
6.3027e+05 1.8323e-09 3.0105e-08 2.0498e+04 8.4794e+00
1.9931e+06 4.1541e-09 9.5200e-08 2.0498e+04 8.4794e+00
6.3027e+06 9.2958e-09 3.0105e-07 2.0498e+04 8.4794e+00
1.9931e+07 2.0603e-08 9.5200e-07 2.0498e+04 8.4794e+00
6.3027e+07 4.5060e-08 3.0105e-06 2.0498e+04 8.4794e+00
1.9931e+08 9.8479e-08 9.5200e-06 2.0498e+04 8.4794e+00
6.3027e+08 2.1502e-07 3.0105e-05 2.0498e+04 8.4794e+00
1.9931e+09 4.6981e-07 9.5200e-05 2.0498e+04 8.4794e+00
6.3027e+09 1.0434e-06 3.0105e-04 2.0498e+04 8.4794e+00
1.9931e+10 2.2872e-06 9.5200e-04 2.0498e+04 8.4794e+00
6.3027e+10 4.3994e-06 3.0105e-03 2.0498e+04 8.4794e+00
1.9931e+11 9.2382e-06 9.5200e-03 2.0497e+04 8.4794e+00
6.3027e+11 1.9178e-05 3.0105e-02 2.0496e+04 8.4793e+00
